cluster,class
1,fibroblast
2,fibroblast
3,stromal_undefined
4,T_NK
5,B_cell
6,T_NK
7,T_NK
8,fibroblast
9,myeloid
10,aDC
11,neutrophil
12,pDC
13,myeloid
14,fibroblast
15,myeloid
16,fibroblast
17,myeloid
18,T_NK
19,myeloid
20,T_NK
21,plasma_cell
22,endothelial
23,T_NK
