cluster,class
1,tumor
2,stroma
3,tumor
4,tumor
5,tumor
6,tumor
7,stroma
8,stroma
9,tumor
10,stroma
11,stroma
12,stroma
13,tumor
14,stroma
15,tumor
16,stroma
17,stroma
18,tumor
19,stroma
20,tumor
