cluster,class
1,tumor
2,stroma
3,stroma
4,stroma
5,stroma
6,stroma
7,stroma
8,stroma
9,tumor
10,tumor
11,tumor
12,tumor
13,tumor
14,stroma
15,tumor
16,stroma
17,tumor
18,stroma
19,stroma
20,stroma
21,stroma
22,stroma
23,stroma
24,tumor
